frame_num,,pixcount_0:peoplecount_0,,pixcount_1:peoplecount_1
0,,749:0,,804:0
60,,588:6,,486:5
120,,573:4.5,,318:6
180,,437:4.5,,550:6.5
240,,432:6,,735:7
300,,385:4.7,,689:8.5
360,,667:6.5,,444:6
420,,676:7,,610:8
480,,608:7.5,,769:9
540,,958:9.5,,824:10
600,,1101:8,,500:6
660,,964:11,,455:5
720,,536:6,,788:7
780,,350:4,,698:8
840,,421:4.6,,696:8
900,,271:3.5,,613:8
960,,186:3.5,,709:7
1020,,680:7,,592:6
1080,,872:9.5,,520:5
1140,,715:8,,546:6
1200,,707:6.5,,855:8.5
1260,,605:5,,945:11
1320,,625:6,,1024:13
1380,,353:4,,1343:16
1440,,381:3,,1708:19
1500,,837:10.5,,1245:16
1560,,1185:15.5,,1087:14
1620,,1765:18,,624:9
1680,,1630:19,,424:6
1740,,1342:17,,410:5.5
1800,,1245:16,,533:5
1860,,1318:15,,207:1.5
1920,,928:11,,538:1.5
1980,,432:5,,700:6
2040,,338:6.5,,868:9.5
2100,,459:7.5,,921:9
2160,,459:6,,917:9
2220,,452:5,,732:8
2280,,772:9,,391:4.5
2340,,667:8.5,,241:2.5
2400,,678:8,,647:6.5
2460,,739:7.5,,757:6
2520,,804:9,,889:7
2580,,690:8.5,,939:6.5
2640,,291:7,,499:6
2700,,158:3.5,,373:4.5
2760,,290:3,,518:7.5
2820,,169:1.5,,707:8.5
2880,,424:4,,498:5
2940,,388:4,,386:4
3000,,636:6,,443:4.5
3060,,428:5,,412:4
3120,,310:3,,564:5
3180,,229:2,,563:6
3240,,472:5,,142:1.5
3300,,387:3.5,,234:2.5
3360,,292:3,,515:5
3420,,427:3.5,,645:7
3480,,597:5.5,,510:5.5
3540,,676:7.5,,469:4.5
3600,,556:5,,544:4.5
3660,,409:4.5,,424:4
3720,,324:3.5,,0:0
3780,,347:3.5,,0:0
3840,,428:5,,0:0
3900,,335:4,,0:0
3960,,347:3,,108:1
4020,,248:2,,183:2
4080,,239:2,,277:2
4140,,138:1,,286:2.5
4200,,302:3,,526:4
4260,,323:3.5,,605:7.5
4320,,438:4.5,,621:8
4380,,469:4.5,,458:4
4440,,525:6.5,,499:5
4500,,752:10,,494:5
4560,,1154:11,,449:4.5
4620,,1301:13.5,,1117:14.5
4680,,1013:13,,1761:19.7
4740,,702:8,,1826:23
4800,,1201:13,,1287:14
4860,,1272:14.5,,821:8.5
4920,,1345:16,,293:3
4980,,995:10,,525:5
5040,,1103:10.3,,544:6.5
5100,,722:6.5,,771:8
5160,,356:4,,1209:10.5
5220,,743:8,,1193:9
5280,,863:7.5,,1011:9.5
5340,,1020:11,,444:5
5400,,611:6.5,,603:6
5460,,390:4.5,,740:7
5520,,377:5,,601:7
5580,,404:5,,499:5
5640,,526:5,,387:4.5
5700,,450:5,,499:5
5760,,640:7,,310:2.5
5820,,525:6,,794:8
5880,,478:5,,1168:12
5940,,809:7.5,,1234:15
6000,,1408:15,,982:10
6060,,1293:16,,793:8
6120,,1483:18.5,,1066:10
6180,,1263:9.5,,843:10
6240,,835:7.5,,1037:10
6300,,545:7,,973:11
6360,,648:10,,401:5
6420,,825:11.5,,237:2
6480,,771:9,,581:8.5
6540,,685:7,,820:9.5
6600,,517:6.5,,725:7.5
6660,,529:7.5,,576:6.5
6720,,496:5,,580:7
6780,,385:4.5,,375:6
6840,,457:5,,923:16
6900,,831:7.5,,1164:14.5
6960,,958:10.5,,1225:15
7020,,961:12,,1178:15
7080,,900:11.5,,1175:11.5
7140,,795:9,,1089:13
7200,,828:12.5,,694:6
7260,,633:7.5,,447:6
7320,,531:7,,552:6
7380,,610:7.5,,760:9.5
7440,,456:7,,851:11
7500,,543:6,,1358:16.5
7560,,574:7.5,,1393:15.5
7620,,547:8.5,,1272:15
7680,,890:12.5,,738:10
7740,,1349:18,,493:4.5
7800,,1621:19.5,,507:6
7860,,1008:15,,841:9
7920,,989:13,,757:8
7980,,851:11,,996:13
8040,,784:10,,751:9.5
8100,,761:8,,765:8
8160,,686:6.5,,609:7
8220,,560:7,,728:6.5
8280,,871:9.5,,878:7
8340,,661:7.5,,1143:11
8400,,1181:13.5,,875:11
8460,,1486:18,,478:6
8520,,1587:18,,421:8
8580,,936:12.5,,1192:13
8640,,507:6,,1508:20
8700,,784:12,,1096:11
8760,,1285:15,,774:10
8820,,1194:13,,857:10
8880,,937:12,,1027:12
